,법정동,축종,발생두수(마리)
1127,4575039024,소,2
1128,4833011900,벌,2
1129,4183031022,소,3
1130,4683033021,소,1
1131,4617035028,소,17
1132,4688034025,소,3
1133,4688034031,소,1
1134,4886034031,벌,31
1135,4792039021,소,1
1136,4617043032,소,6
1137,4278032023,소,1
1138,4278025626,소,1
1139,4713036028,벌,11
1140,4377035027,소,1
1141,4180033046,소,2
1142,4122025627,소,5
1143,4183031022,소,1
1144,4575038028,소,1
1145,4617036029,소,18
1146,4415038038,소,1
1147,4882035028,소,1
1148,4792039021,소,2
1149,4167010100,사슴,2
1150,4793031021,소,1
1151,4684025327,소,1
1152,4691025027,소,2
1153,2811014600,소,3
1154,4519025034,소,2
1155,4574033527,소,3
1156,4677025023,소,1
1157,4413134026,벌,1
1158,4825035021,소,6
1159,4617036029,소,6
1160,4729031032,소,2
1161,4577035028,소,2
1162,4372033024,소,3
1163,4617033028,소,1
1164,4375031030,소,1
1165,4278025328,소,1
1166,4782032040,소,1
1167,4167010100,사슴,1
1168,5011025030,돼지,1
1169,4572025028,소,3
1170,4313036027,사슴,2
1171,4713025931,소,1
1172,4782036037,소,1
1173,4183033024,소,10
1174,4719033029,소,1
1175,4519040024,소,4
1176,4688031025,소,6
1177,4874035025,소,1
1178,4167031021,소,2
1179,4672040029,소,7
1180,4717031034,소,9
1181,4580040024,소,1
1182,4729031032,소,1
1183,4280032024,소,1
1184,4136026222,소,1
1185,4617012500,사슴,1
1186,4272031026,소,1
1187,4377037022,소,1
1188,4772032046,소,1
1189,4311134028,사슴,3
1190,4183041024,소,4
1191,4772032043,소,1
1192,4577035028,소,1
1193,4617032029,소,1
1194,4577035023,소,1
1195,4677039028,소,8
1196,4180033025,사슴,8
1197,4827025033,소,1
1198,4782037043,소,1
1199,4579040027,소,3
1200,4827025033,소,1
1201,4686025031,소,7
1202,4719025326,소,4
